obs,cons,price,gdpc1,dq1,dq2,dq3,dq4,covid,lc,lp,ly,time,lc_1,lc_2,lc_3,ly_1,ly_2,ly_3,ly_4,ly_5,ly_6,lp_1,lp_2
1993Q2,7405.51666666667,1.09166666666667,9914.57,0,1,0,0,0,8.90998049694402,0.0877055804191054,9.20176067138007,9,8.86366290535111,8.89535333326308,8.92672335929522,9.19595540263293,9.19428720665393,9.18391220418079,9.17407983318043,9.16329488497206,9.15139471490929,NA,NA
1993Q3,7726.4,1.06333333333333,9961.87,0,0,1,0,0,8.95239831511928,0.0614086281286436,9.20652008395965,10,8.90998049694402,8.86366290535111,8.89535333326308,9.20176067138007,9.19595540263293,9.19428720665393,9.18391220418079,9.17407983318043,9.16329488497206,0.0877055804191054,NA
1993Q4,7564.68333333333,1.05733333333333,10097.4,0,0,0,1,0,8.93124576590592,0.055750015104492,9.22003324394708,11,8.95239831511928,8.90998049694402,8.86366290535111,9.20652008395965,9.20176067138007,9.19595540263293,9.19428720665393,9.18391220418079,9.17407983318043,0.0614086281286436,0.0877055804191054
1994Q1,7169.41666666667,1.005,10195.3,1,0,0,0,0,8.87757957277583,0.00498754151103897,9.22968210876492,12,8.93124576590592,8.95239831511928,8.90998049694402,9.22003324394708,9.20652008395965,9.20176067138007,9.19595540263293,9.19428720665393,9.18391220418079,0.055750015104492,0.0614086281286436
1994Q2,7576.93333333333,1.05066666666667,10333.5,0,1,0,0,0,8.93286382333563,0.049424883327523,9.24314632370136,13,8.87757957277583,8.93124576590592,8.95239831511928,9.22968210876492,9.22003324394708,9.20652008395965,9.20176067138007,9.19595540263293,9.19428720665393,0.00498754151103897,0.055750015104492
1994Q3,7731.91666666667,1.135,10393.9,0,0,1,0,0,8.95311206254985,0.126632650933366,9.24897437458695,14,8.93286382333563,8.87757957277583,8.93124576590592,9.24314632370136,9.22968210876492,9.22003324394708,9.20652008395965,9.20176067138007,9.19595540263293,0.049424883327523,0.00498754151103897
1994Q4,7782.81666666667,1.12066666666667,10513,0,0,0,1,0,8.95967359106929,0.113923746318314,9.26036786557583,15,8.95311206254985,8.93286382333563,8.87757957277583,9.24897437458695,9.24314632370136,9.22968210876492,9.22003324394708,9.20652008395965,9.20176067138007,0.126632650933366,0.049424883327523
1995Q1,7435.45,1.123,10550.3,1,0,0,0,0,8.91401438160879,0.116003675756306,9.26390957451887,16,8.95967359106929,8.95311206254985,8.93286382333563,9.26036786557583,9.24897437458695,9.24314632370136,9.22968210876492,9.22003324394708,9.20652008395965,0.113923746318314,0.126632650933366
1995Q2,7963.28333333333,1.207,10581.7,0,1,0,0,0,8.9825966728543,0.188137942115395,9.26688137303386,17,8.91401438160879,8.95967359106929,8.95311206254985,9.26390957451887,9.26036786557583,9.24897437458695,9.24314632370136,9.22968210876492,9.22003324394708,0.116003675756306,0.113923746318314
1995Q3,8049.08333333333,1.17633333333333,10671.7,0,0,1,0,0,8.99331349229313,0.162402256025023,9.27535065681576,18,8.9825966728543,8.91401438160879,8.95967359106929,9.26688137303386,9.26390957451887,9.26036786557583,9.24897437458695,9.24314632370136,9.22968210876492,0.188137942115395,0.116003675756306
1995Q4,7834.05,1.12033333333333,10744.2,0,0,0,1,0,8.96623489664095,0.113626260074859,9.28212135307077,19,8.99331349229313,8.9825966728543,8.91401438160879,9.27535065681576,9.26688137303386,9.26390957451887,9.26036786557583,9.24897437458695,9.24314632370136,0.162402256025023,0.188137942115395
